#,ブランド,ライン,製品名,カテゴリ,主要悩み(先頭5件),容量,メーカー,推奨対象,特徴サマリー,商品ID
1,Aujua,アクアヴィア,アクアヴィア シャンプー,シャンプー,乾燥 / 絡まり / ツヤ不足 / 枝毛 / ダメージ,250mL / 500mL / 1L パック,ミルボン,「くせ毛で広がりやすい」「湿気の日もまとまっていたい」方。,水分循環をテーマにした、Aujuaの軽やかな保湿ライン。毛先までうるおい持続。,aujua-aquavia-sh
2,Aujua,アクアヴィア,アクアヴィア ヘアトリートメント,トリートメント,乾燥 / 絡まり / ツヤ不足 / 枝毛 / ダメージ,250g / 500g / 1L パック,ミルボン,「くせ毛で広がりやすい」「湿気の日もまとまっていたい」方。,水分循環をテーマにした、Aujuaの軽やかな保湿ライン。毛先までうるおい持続。,aujua-aquavia-tr
3,Aujua,アクアヴィア,アクアヴィア ヘアニュートリエント,ヘアマスク,乾燥 / 絡まり / ツヤ不足 / 枝毛 / ダメージ,250g,ミルボン,「くせ毛で広がりやすい」「湿気の日もまとまっていたい」方。,水分循環をテーマにした、Aujuaの軽やかな保湿ライン。毛先までうるおい持続。,aujua-aquavia-mask
4,Aujua,アクアヴィア,アクアヴィア モイストセラム,アウトバスミルク,乾燥 / 絡まり / ツヤ不足 / 枝毛 / ダメージ,モイストセラム 100mL,ミルボン,「くせ毛で広がりやすい」「湿気の日もまとまっていたい」方。,水分循環をテーマにした、Aujuaの軽やかな保湿ライン。毛先までうるおい持続。,aujua-aquavia-out
5,Aujua,イミュライズ,イミュライズ シャンプー,シャンプー,弾力不足 / エイジング毛 / ダメージ / 多重ブリーチ / ブリーチダメージ,250mL / 500mL / 1L パック,ミルボン,カラー・パーマで弱った髪、エイジングによる弾力低下が気になる方に。,毛髪強度に着目した処方が、エイジングによる弱りを整え、ハリのある補修感を与えます。,aujua-immurise-sh
6,Aujua,イミュライズ,イミュライズ ヘアトリートメント,トリートメント,弾力不足 / エイジング毛 / ダメージ / 多重ブリーチ / ブリーチダメージ,250g / 500g / 1L パック,ミルボン,カラー・パーマで弱った髪、エイジングによる弾力低下が気になる方に。,毛髪強度に着目した処方が、エイジングによる弱りを整え、ハリのある補修感を与えます。,aujua-immurise-tr
7,Aujua,イミュライズ,イミュライズ ヘアニュートリエント,ヘアマスク,弾力不足 / エイジング毛 / ダメージ / 多重ブリーチ / ブリーチダメージ,250g,ミルボン,カラー・パーマで弱った髪、エイジングによる弾力低下が気になる方に。,毛髪強度に着目した処方が、エイジングによる弱りを整え、ハリのある補修感を与えます。,aujua-immurise-mask
8,Aujua,イミュライズ,イミュライズ エクシードセラム,アウトバスミルク,弾力不足 / エイジング毛 / ダメージ / 多重ブリーチ / ブリーチダメージ,エクシードセラム 100mL,ミルボン,カラー・パーマで弱った髪、エイジングによる弾力低下が気になる方に。,毛髪強度に着目した処方が、エイジングによる弱りを整え、ハリのある補修感を与えます。,aujua-immurise-out
9,Aujua,インメトリィ,インメトリィ シャンプー,シャンプー,広がり / 剛毛 / 扱いにくさ / ツヤ不足 / 絡まり,250mL / 500mL / 1L パック,ミルボン,「年齢によるうねりや、まとまりにくさが気になり始めた」方。,硬毛・太毛のなめらかさとツヤを引き出す代表ライン。広がりを抑えてシルキーな仕上がり。,aujua-inmetry-sh
10,Aujua,インメトリィ,インメトリィ ヘアトリートメント,トリートメント,広がり / 剛毛 / 扱いにくさ / ツヤ不足 / 絡まり,250g / 500g / 1L パック,ミルボン,「年齢によるうねりや、まとまりにくさが気になり始めた」方。,硬毛・太毛のなめらかさとツヤを引き出す代表ライン。広がりを抑えてシルキーな仕上がり。,aujua-inmetry-tr
11,Aujua,インメトリィ,インメトリィ コントロール クリーム,ヘアマスク,広がり / 剛毛 / 扱いにくさ / ツヤ不足 / 絡まり,コントロール クリーム 110g,ミルボン,「年齢によるうねりや、まとまりにくさが気になり始めた」方。,硬毛・太毛のなめらかさとツヤを引き出す代表ライン。広がりを抑えてシルキーな仕上がり。,aujua-inmetry-mask
12,Aujua,インメトリィ,インメトリィ ミルク,アウトバスミルク,広がり / 剛毛 / 扱いにくさ / ツヤ不足 / 絡まり,インメトリィ ミルク 100mL,ミルボン,「年齢によるうねりや、まとまりにくさが気になり始めた」方。,硬毛・太毛のなめらかさとツヤを引き出す代表ライン。広がりを抑えてシルキーな仕上がり。,aujua-inmetry-out
13,Aujua,エイジングスパ,エイジングスパ クリアフォーム,スカルプクレンザー,薄毛抜け毛 / ハリコシ不足 / 細毛 / 軟毛 / ボリューム不足,250mL / 500mL / 1L パック,ミルボン,エイジングによる頭皮の乾燥、ボリューム低下、ハリ・コシ不足が気になる方に。,地肌ケアに着目した処方が、頭皮を整え、根元からふんわり立ち上がる質感を引き出します。,aujua-agingspa-sh
14,Aujua,エイジングスパ,エイジングスパ シャンプー,シャンプー,薄毛抜け毛 / ハリコシ不足 / 細毛 / 軟毛 / ボリューム不足,クリアフォーム 200g,ミルボン,エイジングによる頭皮の乾燥、ボリューム低下、ハリ・コシ不足が気になる方に。,地肌ケアに着目した処方が、頭皮を整え、根元からふんわり立ち上がる質感を引き出します。,aujua-agingspa-sh-2
15,Aujua,エイジングスパ,エイジングスパ ヘアトリートメント,トリートメント,薄毛抜け毛 / ハリコシ不足 / 細毛 / 軟毛 / ボリューム不足,250g / 500g / 1L パック,ミルボン,エイジングによる頭皮の乾燥、ボリューム低下、ハリ・コシ不足が気になる方に。,地肌ケアに着目した処方が、頭皮を整え、根元からふんわり立ち上がる質感を引き出します。,aujua-agingspa-tr
16,Aujua,クエンチ,クエンチ シャンプー,シャンプー,広がり / 広がり / 湿気 / 乾燥 / うねり/くせ,250mL / 500mL / 1L パック,ミルボン,「いろいろ試しても潤いが続かない」「毛先がカサつく」と感じている方。,水分不足によるパサつき・ごわつき・まとまりにくさを、髪内部の水分保持力から立て直します。,aujua-quench-sh
17,Aujua,クエンチ,クエンチ ヘアトリートメント,トリートメント,広がり / 広がり / 湿気 / 乾燥 / うねり/くせ,250g / 500g / 1L パック,ミルボン,「いろいろ試しても潤いが続かない」「毛先がカサつく」と感じている方。,水分不足によるパサつき・ごわつき・まとまりにくさを、髪内部の水分保持力から立て直します。,aujua-quench-tr
18,Aujua,クエンチ,クエンチ ヘアニュートリエント,ヘアマスク,広がり / 広がり / 湿気 / 乾燥 / うねり/くせ,250g,ミルボン,「いろいろ試しても潤いが続かない」「毛先がカサつく」と感じている方。,水分不足によるパサつき・ごわつき・まとまりにくさを、髪内部の水分保持力から立て直します。,aujua-quench-mask
19,Aujua,スムース,スムース シャンプー,シャンプー,絡まり / 細毛 / 軟毛 / ぺたんとする / ハリコシ不足,250mL / 500mL / 1L パック,ミルボン,「重くなりたくない」「さらさらの指通りが好き」な方。,軟毛・細毛・絡まりやすい髪のためのスムージングライン。軽さと指通りを両立。,aujua-smooth-sh
20,Aujua,スムース,スムース ヘアトリートメント,トリートメント,絡まり / 細毛 / 軟毛 / ぺたんとする / ハリコシ不足,250g / 500g / 1L パック,ミルボン,「重くなりたくない」「さらさらの指通りが好き」な方。,軟毛・細毛・絡まりやすい髪のためのスムージングライン。軽さと指通りを両立。,aujua-smooth-tr
21,Aujua,スムース,スムース セラム,アウトバスミルク,絡まり / 細毛 / 軟毛 / ぺたんとする / ハリコシ不足,スムース セラム 100mL,ミルボン,「重くなりたくない」「さらさらの指通りが好き」な方。,軟毛・細毛・絡まりやすい髪のためのスムージングライン。軽さと指通りを両立。,aujua-smooth-out
22,Aujua,フィルメロウ,フィルメロウ シャンプー,シャンプー,ボリューム不足 / ぺたんとする / 細毛 / 軟毛 / ハリコシ不足,250mL / 500mL / 1L パック,ミルボン,細毛・軟毛・ハリコシ不足・トップのボリュームが欲しい方に。,細毛・ハリコシ低下の髪に芯のあるボリュームを与える、エラスチン処方ライン。,aujua-filmellow-sh
23,Aujua,フィルメロウ,フィルメロウ ヘアトリートメント,トリートメント,ボリューム不足 / ぺたんとする / 細毛 / 軟毛 / ハリコシ不足,250g / 500g / 1L パック,ミルボン,細毛・軟毛・ハリコシ不足・トップのボリュームが欲しい方に。,細毛・ハリコシ低下の髪に芯のあるボリュームを与える、エラスチン処方ライン。,aujua-filmellow-tr
24,Aujua,フィルメロウ,フィルメロウ ミルク,アウトバスミルク,ボリューム不足 / ぺたんとする / 細毛 / 軟毛 / ハリコシ不足,フィルメロウ ミルク 100mL,ミルボン,細毛・軟毛・ハリコシ不足・トップのボリュームが欲しい方に。,細毛・ハリコシ低下の髪に芯のあるボリュームを与える、エラスチン処方ライン。,aujua-filmellow-out
25,Aujua,モイストカーム,モイストカーム シャンプー,シャンプー,うねり/くせ / 広がり / 扱いにくさ / 湿気 / 広がり,250mL / 500mL / 1L パック,ミルボン,くせ毛・うねり・広がり・湿気にうねる髪に。,くせ毛・うねり毛に特化したフリッツケアライン。頭皮環境からもアプローチ。,aujua-moistcalm-sh
26,Aujua,モイストカーム,モイストカーム ヘアトリートメント,トリートメント,うねり/くせ / 広がり / 扱いにくさ / 湿気 / 広がり,250g / 500g / 1L パック,ミルボン,くせ毛・うねり・広がり・湿気にうねる髪に。,くせ毛・うねり毛に特化したフリッツケアライン。頭皮環境からもアプローチ。,aujua-moistcalm-tr
27,Aujua,モイストカーム,モイストカーム モイスチュアローション,スカルプエッセンス,うねり/くせ / 広がり / 扱いにくさ / 湿気 / 広がり,モイスチュアローション 100mL,ミルボン,くせ毛・うねり・広がり・湿気にうねる髪に。,くせ毛・うねり毛に特化したフリッツケアライン。頭皮環境からもアプローチ。,aujua-moistcalm-essence
28,Aujua,リペアリティ,リペアリティ シャンプー,シャンプー,多重ブリーチ / ブリーチダメージ / ダメージ / 切れ毛 / 弾力不足,250mL / 500mL / 1L パック,ミルボン,「ブリーチを楽しみたいが、髪のダメージはしっかりケアしたい」方。,ハイダメージ毛の補修に特化した処方が、内部の弱りを整え、しなやかな質感を取り戻します。,aujua-repairity-sh
29,Aujua,リペアリティ,リペアリティ ヘアトリートメント,トリートメント,多重ブリーチ / ブリーチダメージ / ダメージ / 切れ毛 / 弾力不足,250g / 500g / 1L パック,ミルボン,「ブリーチを楽しみたいが、髪のダメージはしっかりケアしたい」方。,ハイダメージ毛の補修に特化した処方が、内部の弱りを整え、しなやかな質感を取り戻します。,aujua-repairity-tr
30,Aujua,リペアリティ,リペアリティ ヘアニュートリエント,ヘアマスク,多重ブリーチ / ブリーチダメージ / ダメージ / 切れ毛 / 弾力不足,250g,ミルボン,「ブリーチを楽しみたいが、髪のダメージはしっかりケアしたい」方。,ハイダメージ毛の補修に特化した処方が、内部の弱りを整え、しなやかな質感を取り戻します。,aujua-repairity-mask
31,Elujuda,FO,エルジューダ FO,アウトバスミルク,ダメージ / ツヤ不足 / パサつき / ボリュームダウン / volumeLoss,120mL / 30mL,ミルボン,「重くなりたくないけれど、ツヤがほしい」方。,軽やかなオイル設計が、髪に負担をかけずにツヤとまとまりを与えます。,elujuda-fo-out
32,Elujuda,MO,エルジューダ MO,アウトバスミルク,ダメージ / ツヤ不足 / パサつき / ボリュームダウン / volumeLoss,120mL / 30mL,ミルボン,「重くなりたくないけれど、ツヤがほしい」方。,軽やかなオイル設計が、髪に負担をかけずにツヤとまとまりを与えます。,elujuda-fo-out-2
33,Elujuda,エマルジョン,エルジューダ エマルジョン,アウトバスミルク,ダメージ / 広がり / 広がり / まとまり不足 / 乾燥,120g / 30g,ミルボン,「広がりを抑え、しっとりまとめたい」方。,硬毛向けの保湿成分が髪をやわらかく整え、広がりを抑えてしっとりとしたまとまりを与えます。,elujuda-emulsion-out
34,Elujuda,エマルジョン,エルジューダ エマルジョン+,アウトバスミルク,ダメージ / 広がり / 広がり / まとまり不足 / 乾燥,120g / 30g,ミルボン,「広がりを抑え、しっとりまとめたい」方。,硬毛向けの保湿成分が髪をやわらかく整え、広がりを抑えてしっとりとしたまとまりを与えます。,elujuda-emulsion-out-2
35,Elujuda,グレイスオン,エルジューダ グレイスオン エマルジョン,アウトバスミルク,ダメージ / dryness / 白髪染め褪色 / パサつき / 乾燥,グレイスオン エマルジョン 120g,ミルボン,「毛先のまとまりとやわらかさを叶えたい」方。,ミルク質感がしっとりとなじみ、毛先のまとまりと指通りをなめらかに整えます。,elujuda-graceon-out
36,Elujuda,グレイスオン,エルジューダ グレイスオン セラム,アウトバスミルク,ダメージ / dryness / 白髪染め褪色 / パサつき / 乾燥,グレイスオン セラム 120mL,ミルボン,「毛先のまとまりとやわらかさを叶えたい」方。,ミルク質感がしっとりとなじみ、毛先のまとまりと指通りをなめらかに整えます。,elujuda-graceon-out-2
37,Elujuda,フリッズフィクサー,エルジューダ フリッズフィクサー エマルジョン,アウトバスミルク,広がり / 広がり / 湿気 / うねり/くせ / ダメージ,120g,ミルボン,「梅雨や湿気の日でもまとまる髪でいたい」方。,湿気による広がりにアプローチするフリッズケア処方が、髪を扱いやすい質感へ整えます。,elujuda-frizzfixer-out
38,Elujuda,フリッズフィクサー,エルジューダ フリッズフィクサー エマルジョン+,アウトバスミルク,広がり / 広がり / 湿気 / うねり/くせ / ダメージ,120g,ミルボン,「梅雨や湿気の日でもまとまる髪でいたい」方。,湿気による広がりにアプローチするフリッズケア処方が、髪を扱いやすい質感へ整えます。,elujuda-frizzfixer-out-2
39,Elujuda,ブリーチケア,エルジューダ ブリーチケア ジェルセラム,アウトバスミルク,ダメージ / 乾燥 / 広がり / パサつき / 絡まり,ブリーチケア ジェルセラム 120g,ミルボン,「ハイトーンを楽しみたいが、絡まりやパサつきが気になる」方。,ブリーチケアに特化したジェル&セラム処方が、絡まりを抑えてなめらかな指通りを与えます。,elujuda-bleachcare-gel
40,Elujuda,ブリーチケア,エルジューダ ブリーチケア セラム,アウトバスミルク,ダメージ / 乾燥 / 広がり / パサつき / 絡まり,ブリーチケア セラム 120mL,ミルボン,「ハイトーンを楽しみたいが、絡まりやパサつきが気になる」方。,ブリーチケアに特化したジェル&セラム処方が、絡まりを抑えてなめらかな指通りを与えます。,elujuda-bleachcare-out
41,Global Milbon,アンチフリッズ,アンチフリッズ シャンプー,シャンプー,広がり / 広がり / 湿気 / うねり/くせ / まとまり不足,200mL / 500mL / 1L パック,ミルボン,「湿気でいつも髪が広がる」方。,湿気と広がりに着目した処方が、髪をなめらかに整え、扱いやすいまとまりを与えます。,globalmilbon-antifrizz-sh
42,Global Milbon,アンチフリッズ,アンチフリッズ トリートメント,トリートメント,ダメージ / 乾燥 / 広がり / 湿気 / まとまり不足,200g / 500g / 1L パック,ミルボン,「湿気でいつも髪が広がる」方。,湿気と広がりに着目した処方が、髪をなめらかに整え、扱いやすいまとまりを与えます。,globalmilbon-antifrizz-tr
43,Global Milbon,アンチフリッズ,アンチフリッズ ヘアマスク,ヘアマスク,広がり / 広がり / 湿気 / うねり/くせ / まとまり不足,150g,ミルボン,「湿気でいつも髪が広がる」方。,湿気と広がりに着目した処方が、髪をなめらかに整え、扱いやすいまとまりを与えます。,globalmilbon-antifrizz-mask
44,Global Milbon,カラープリザーブ,カラープリザーブ シャンプー,シャンプー,カラー褪色 / ダメージ / ツヤ不足 / 乾燥 / colorFade,200mL / 500mL / 1L パック,ミルボン,「カラーを長くきれいに楽しみたい」方。,カラーケア設計が褪色を抑え、ツヤと色持ちを両立します。,globalmilbon-colorpreserve-sh
45,Global Milbon,カラープリザーブ,カラープリザーブ トリートメント,トリートメント,カラー褪色 / ダメージ / ツヤ不足 / 乾燥 / colorFade,200g / 500g / 1L パック,ミルボン,「カラーを長くきれいに楽しみたい」方。,カラーケア設計が褪色を抑え、ツヤと色持ちを両立します。,globalmilbon-colorpreserve-tr
46,Global Milbon,カラープリザーブ,カラープリザーブ ヘアマスク,ヘアマスク,カラー褪色 / ダメージ / ツヤ不足 / 乾燥 / colorFade,150g,ミルボン,「カラーを長くきれいに楽しみたい」方。,カラーケア設計が褪色を抑え、ツヤと色持ちを両立します。,globalmilbon-colorpreserve-mask
47,Global Milbon,スムース,スムース シャンプー,シャンプー,絡まり / ツヤ不足 / パサつき / 広がり / 広がり,200mL / 500mL / 1L パック,ミルボン,「重くしたくない」「さらさらの仕上がりが好き」な方。,軽やかな仕上がりを叶える処方が、絡まりを抑え、さらさらの指通りを引き出します。,globalmilbon-smooth-sh
48,Global Milbon,スムース,スムース トリートメント,トリートメント,絡まり / ダメージ / 乾燥 / ツヤ不足 / パサつき,200g / 500g / 1L パック,ミルボン,「重くしたくない」「さらさらの仕上がりが好き」な方。,軽やかな仕上がりを叶える処方が、絡まりを抑え、さらさらの指通りを引き出します。,globalmilbon-smooth-tr
49,Global Milbon,スムース,スムース ウィークリーブースター,ヘアマスク,絡まり / ツヤ不足 / パサつき / 広がり / 広がり,150g,ミルボン,「重くしたくない」「さらさらの仕上がりが好き」な方。,軽やかな仕上がりを叶える処方が、絡まりを抑え、さらさらの指通りを引き出します。,globalmilbon-smooth-mask
50,Global Milbon,モイスチュア,モイスチュア シャンプー,シャンプー,乾燥 / 広がり / 広がり / dryness / パサつき,200mL / 500mL / 1L パック,ミルボン,「うるおいで満たして、しっとりまとめたい」方。,保湿に着目した処方が、乾燥した髪に水分を満たし、しっとりとしたまとまりを与えます。,globalmilbon-moisture-sh
51,Global Milbon,モイスチュア,モイスチュア トリートメント,トリートメント,乾燥 / 広がり / 広がり / ダメージ / dryness,200g / 500g / 1L パック,ミルボン,「うるおいで満たして、しっとりまとめたい」方。,保湿に着目した処方が、乾燥した髪に水分を満たし、しっとりとしたまとまりを与えます。,globalmilbon-moisture-tr
52,Global Milbon,モイスチュア,モイスチュア ヘアマスク,ヘアマスク,乾燥 / 広がり / 広がり / dryness / パサつき,150g,ミルボン,「うるおいで満たして、しっとりまとめたい」方。,保湿に着目した処方が、乾燥した髪に水分を満たし、しっとりとしたまとまりを与えます。,globalmilbon-moisture-mask
53,Global Milbon,リペア,リペア シャンプー,シャンプー,ダメージ / 枝毛 / ツヤ不足 / パサつき / 多重ブリーチ,200mL / 500mL / 1L パック,ミルボン,「ダメージケアをきちんと続けたい」方。,ダメージ補修処方が髪内部にアプローチし、しなやかさと指通りを取り戻します。,globalmilbon-repair-sh
54,Global Milbon,リペア,リペア トリートメント,トリートメント,ダメージ / 枝毛 / ツヤ不足 / 乾燥 / パサつき,200g / 500g / 1L パック,ミルボン,「ダメージケアをきちんと続けたい」方。,ダメージ補修処方が髪内部にアプローチし、しなやかさと指通りを取り戻します。,globalmilbon-repair-tr
55,Global Milbon,リペア,リペア ヘアマスク,ヘアマスク,ダメージ / 枝毛 / ツヤ不足 / パサつき / 多重ブリーチ,150g,ミルボン,「ダメージケアをきちんと続けたい」方。,ダメージ補修処方が髪内部にアプローチし、しなやかさと指通りを取り戻します。,globalmilbon-repair-mask
56,Global Milbon Premium Position,ブロンドプラス,ブロンドプラス シャンプー,シャンプー,ダメージ / ツヤ不足 / bleach / colorFade / パサつき,200mL / 500mL / 1L パック,ミルボン,「ハイトーンの透明感をきれいに保ちたい」方。,黄ばみケアに特化した処方が、ハイトーンカラーの透明感とツヤを保ちます。,globalmilbon-blondeplus-sh
57,Global Milbon Premium Position,ブロンドプラス,ブロンドプラス トリートメント,トリートメント,bleach / colorFade / ダメージ / 乾燥 / ツヤ不足,200g / 500g / 1L パック,ミルボン,「ハイトーンの透明感をきれいに保ちたい」方。,黄ばみケアに特化した処方が、ハイトーンカラーの透明感とツヤを保ちます。,globalmilbon-blondeplus-tr
58,Global Milbon Premium Position,ブロンドプラス,ブロンドプラス ヘアマスク,ヘアマスク,ダメージ / ツヤ不足 / bleach / colorFade / パサつき,150g,ミルボン,「ハイトーンの透明感をきれいに保ちたい」方。,黄ばみケアに特化した処方が、ハイトーンカラーの透明感とツヤを保ちます。,globalmilbon-blondeplus-mask
59,Global Milbon Premium Position,リペアヒート,リペアヒート シャンプー,シャンプー,熱ダメージ / ダメージ / ツヤ不足 / パサつき / 多重ブリーチ,200mL / 500mL / 1L パック,ミルボン,「熱スタイリングを毎日続けるが、髪は守りたい」方。,熱ダメージにアプローチする処方が、アイロンの熱から髪を守り、なめらかさを引き出します。,globalmilbon-repairheat-sh
60,Global Milbon Premium Position,リペアヒート,リペアヒート トリートメント,トリートメント,熱ダメージ / ダメージ / ツヤ不足 / 乾燥 / パサつき,200g / 500g / 1L パック,ミルボン,「熱スタイリングを毎日続けるが、髪は守りたい」方。,熱ダメージにアプローチする処方が、アイロンの熱から髪を守り、なめらかさを引き出します。,globalmilbon-repairheat-tr
61,Global Milbon Premium Position,リペアヒート,リペアヒート ヘアマスク,ヘアマスク,熱ダメージ / ダメージ / ツヤ不足 / パサつき / 多重ブリーチ,150g,ミルボン,「熱スタイリングを毎日続けるが、髪は守りたい」方。,熱ダメージにアプローチする処方が、アイロンの熱から髪を守り、なめらかさを引き出します。,globalmilbon-repairheat-mask
62,SUWAE,suwae,suwae リラクシング シャンプー,シャンプー,広がり / うねり/くせ / 広がり / まとまり不足 / 湿気,200ml / 500ml / 1000ml refill,Milbon,くせ毛・うねり・広がり・ゴワつきが気になる方の根本ケアに。,ミルボン新ブランドsuwae、くせ・うねり毛を根元からやわらかくする革新シャンプー。,milbon-suwae-sh
63,SUWAE,suwae,suwae リラクシング トリートメント,トリートメント,広がり / うねり/くせ / 広がり / まとまり不足 / 湿気,200g / 500g / 1000g refill,Milbon,軟毛〜普通毛で細く絡まりやすいくせ毛・うねり毛の方に。,軟毛〜普通毛のくせ・うねり毛をさらりとまとめる、2way設計のsuwaeトリートメント。,milbon-suwae-tr
64,SUWAE,suwae,suwae リラクシング トリートメント+,トリートメント,広がり / うねり/くせ / 広がり / まとまり不足 / 湿気,200g / 500g / 1000g refill,Milbon,硬毛・ゴワつき・剛毛でくせ・うねりが強い方に。,硬毛・ゴワつき毛をしなやかにまとめる、suwae最強の柔軟トリートメント。,milbon-suwae-tr-plus
65,Kérastase,クロノロジスト,クロノロジスト バン,シャンプー,ツヤ不足 / ダメージ / aging / パサつき / thinning,バン クロノロジスト R 250mL,ロレアル,「最上級の体験を、自分や大切な人に贈りたい」方。,ブランド最高峰の処方が、ツヤ・補修・保湿を総合的に底上げします。,kerastase-chronologiste-sh
66,Kérastase,クロノロジスト,クロノロジスト フォンダン,トリートメント,ツヤ不足 / ダメージ / 乾燥 / aging / パサつき,フォンダン クロノロジスト R 200mL,ロレアル,「最上級の体験を、自分や大切な人に贈りたい」方。,ブランド最高峰の処方が、ツヤ・補修・保湿を総合的に底上げします。,kerastase-chronologiste-tr
67,Kérastase,クロノロジスト,クロノロジスト マスク,ヘアマスク,ツヤ不足 / ダメージ / aging / パサつき / thinning,マスク クロノロジスト R 200g,ロレアル,「最上級の体験を、自分や大切な人に贈りたい」方。,ブランド最高峰の処方が、ツヤ・補修・保湿を総合的に底上げします。,kerastase-chronologiste-mask
68,Kérastase,クロノロジスト,クロノロジスト ヘアオイル,アウトバスオイル,ツヤ不足 / ダメージ / aging / パサつき / thinning,ユイル スブリム ル 100mL,ロレアル,「最上級の体験を、自分や大切な人に贈りたい」方。,ブランド最高峰の処方が、ツヤ・補修・保湿を総合的に底上げします。,kerastase-chronologiste-oil
69,Kérastase,クロノロジスト,クロノロジスト セラム,スカルプエッセンス,ツヤ不足 / ダメージ / aging / パサつき / thinning,セラム クロノロジスト 30mL×6,ロレアル,「最上級の体験を、自分や大切な人に贈りたい」方。,ブランド最高峰の処方が、ツヤ・補修・保湿を総合的に底上げします。,kerastase-chronologiste-essence
70,Kérastase,クロマアブソリュ,クロマアブソリュ バン,シャンプー,カラー褪色 / ダメージ / ツヤ不足 / 乾燥 / 湿気,バン クロマ リッシュ 250mL,ロレアル,「カラーの色持ちにこだわりたい」方。,カラーケア処方が褪色を防ぎ、ツヤやかな色持ちを支えます。,kerastase-chromaabsolu-sh
71,Kérastase,クロマアブソリュ,クロマアブソリュ フォンダン,トリートメント,カラー褪色 / ダメージ / ツヤ不足 / 乾燥 / 湿気,フォンダン クロマ リッシュ 200mL,ロレアル,「カラーの色持ちにこだわりたい」方。,カラーケア処方が褪色を防ぎ、ツヤやかな色持ちを支えます。,kerastase-chromaabsolu-tr
72,Kérastase,クロマアブソリュ,クロマアブソリュ マスク,ヘアマスク,カラー褪色 / ダメージ / ツヤ不足 / 乾燥 / 湿気,マスク クロマ リッシュ 200g,ロレアル,「カラーの色持ちにこだわりたい」方。,カラーケア処方が褪色を防ぎ、ツヤやかな色持ちを支えます。,kerastase-chromaabsolu-mask
