brand	id	name	imageUrl_in_json	image_in_json
HITA	hita-hita-mask	ヒタ アクティブプレックスマスク	(なし)	images/brands/hita.png
LOA	loa-core-oil	LOA THE OIL	(なし)	images/brands/loa_the_oil_loa_the_oil.png
TOKIO INKARAMI	tokio-outkarami-oil	TOKIO IE OUTKARAMI オイルトリートメント	(なし)	images/brands/tokio_inkarami_tokio_ie_outkarami.png
TOKIO INKARAMI	tokio-outkarami-oil-2	TOKIO IE OUTKARAMI プラチナムオイルトリートメント	(なし)	images/brands/tokio_inkarami_tokio_ie_outkarami.png
Aujua	aujua-aquavia-sh	アクアヴィア シャンプー	(なし)	images/brands/.png
Aujua	aujua-immurise-sh	イミュライズ シャンプー	(なし)	images/brands/.png
Aujua	aujua-inmetry-sh	インメトリィ シャンプー	(なし)	images/brands/.png
Aujua	aujua-agingspa-sh	エイジングスパ クリアフォーム	(なし)	images/brands/.png
Aujua	aujua-agingspa-sh-2	エイジングスパ シャンプー	(なし)	images/brands/.png
Aujua	aujua-quench-sh	クエンチ シャンプー	(なし)	images/brands/.png
Aujua	aujua-smooth-sh	スムース シャンプー	(なし)	images/brands/.png
Aujua	aujua-filmellow-sh	フィルメロウ シャンプー	(なし)	images/brands/.png
Aujua	aujua-moistcalm-sh	モイストカーム シャンプー	(なし)	images/brands/.png
Aujua	aujua-repairity-sh	リペアリティ シャンプー	(なし)	images/brands/.png
Aujua	aujua-aquavia-tr	アクアヴィア ヘアトリートメント	(なし)	images/brands/.png
Aujua	aujua-immurise-tr	イミュライズ ヘアトリートメント	(なし)	images/brands/.png
Aujua	aujua-inmetry-tr	インメトリィ ヘアトリートメント	(なし)	images/brands/.png
Aujua	aujua-agingspa-tr	エイジングスパ ヘアトリートメント	(なし)	images/brands/.png
Aujua	aujua-quench-tr	クエンチ ヘアトリートメント	(なし)	images/brands/.png
Aujua	aujua-smooth-tr	スムース ヘアトリートメント	(なし)	images/brands/.png
Aujua	aujua-filmellow-tr	フィルメロウ ヘアトリートメント	(なし)	images/brands/.png
Aujua	aujua-moistcalm-tr	モイストカーム ヘアトリートメント	(なし)	images/brands/.png
Aujua	aujua-aquavia-mask	アクアヴィア ヘアニュートリエント	(なし)	images/brands/.png
Aujua	aujua-immurise-mask	イミュライズ ヘアニュートリエント	(なし)	images/brands/.png
Aujua	aujua-inmetry-mask	インメトリィ コントロール クリーム	(なし)	images/brands/.png
Aujua	aujua-quench-mask	クエンチ ヘアニュートリエント	(なし)	images/brands/.png
Aujua	aujua-repairity-mask	リペアリティ ヘアニュートリエント	(なし)	images/brands/.png
Aujua	aujua-aquavia-out	アクアヴィア モイストセラム	(なし)	images/brands/.png
Aujua	aujua-immurise-out	イミュライズ エクシードセラム	(なし)	images/brands/.png
Aujua	aujua-inmetry-out	インメトリィ ミルク	(なし)	images/brands/.png
Aujua	aujua-smooth-out	スムース セラム	(なし)	images/brands/.png
Aujua	aujua-filmellow-out	フィルメロウ ミルク	(なし)	images/brands/.png
Aujua	aujua-moistcalm-essence	モイストカーム モイスチュアローション	(なし)	images/brands/.png
Global Milbon	globalmilbon-antifrizz-sh	アンチフリッズ シャンプー	(なし)	images/brands/anti_frizz.png
Global Milbon	globalmilbon-antifrizz-tr	アンチフリッズ トリートメント	(なし)	images/brands/anti_frizz.png
Global Milbon	globalmilbon-antifrizz-mask	アンチフリッズ ヘアマスク	(なし)	images/brands/anti_frizz.png
Global Milbon Premium Position	globalmilbon-blondeplus-mask	ブロンドプラス ヘアマスク	(なし)	images/brands/blonde_plus.png
Global Milbon	globalmilbon-colorpreserve-mask	カラープリザーブ ヘアマスク	(なし)	images/brands/color_preserve.png
Global Milbon	globalmilbon-repair-mask	リペア ヘアマスク	(なし)	images/brands/repair.png
Global Milbon Premium Position	globalmilbon-repairheat-mask	リペアヒート ヘアマスク	(なし)	images/brands/repair_heat.png
Kérastase	kerastase-blondabsolu-tr	ブロンドアブソリュ フォンダン	(なし)	images/brands/blond_absolu.png
Kérastase	kerastase-chronologiste-tr	クロノロジスト フォンダン	(なし)	images/brands/chronologiste.png
Kérastase	kerastase-nutritive-tr	ニュートリティブ フォンダン	(なし)	images/brands/nutritive.png
Kérastase	kerastase-nutritive-oil	ニュートリティブ ヘアオイル	(なし)	images/brands/nutritive.png
Kérastase	kerastase-resistance-oil	レジスタンス ヘアオイル	(なし)	images/brands/resistance.png
SUBLIMIC	sublimic-fuenteforte-sh	フェンテフォルテ シャンプー	(なし)	images/brands/.png
SUBLIMIC	sublimic-fuenteforte-tr	フェンテフォルテ トリートメント	(なし)	images/brands/.png
Davines	davines-authentic-oil	オーセンティック オイル	(なし)	(なし)
プロマスター	grancare-shampoo	プロマスター グランケア シャンプー	(なし)	(なし)
プロマスター	grancare-treatment	プロマスター グランケア トリートメント	(なし)	(なし)
プロマスター	grancare-essence	プロマスター グランケア スキャルプエッセンス	(なし)	(なし)
Aujua	aujua-equiale-sh	エクイアル シャンプー	(なし)	(なし)
Aujua	aujua-equiale-tr	エクイアル ヘアトリートメント	(なし)	(なし)
Aujua	aujua-timesurge-sh	タイムサージ シャンプー	(なし)	(なし)
Aujua	aujua-timesurge-tr	タイムサージ ヘアトリートメント	(なし)	(なし)
Aujua	aujua-timesurge-essence	タイムサージ アドバンスドエッセンス	(なし)	(なし)